"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.935483833E0,-1.588197327E-1,7.858657837E-2,9.842183075E0,9.843778098E0
2.945433833E0,-1.514849854E-1,7.469467163E-2,9.836494904E0,9.837944856E0
2.955382833E0,-1.469943237E-1,6.765930176E-2,9.843081207E0,9.844411245E0
2.965331833E0,-1.469943237E-1,7.244934082E-2,9.845775604E0,9.847139356E0
2.975280833E0,-1.568737793E-1,7.214996338E-2,9.839039612E0,9.840554633E0
2.985229833E0,-1.591191101E-1,7.469467163E-2,9.836494904E0,9.838065367E0
2.995179833E0,-1.600172424E-1,8.217910767E-2,9.839638367E0,9.841282544E0
3.005128833E0,-1.562750244E-1,7.933502197E-2,9.845775604E0,9.847335334E0
3.015077833E0,-1.507365417E-1,7.873626709E-2,9.827513580E0,9.828984896E0
3.025026833E0,-1.477427673E-1,7.200027466E-2,9.834249573E0,9.835622839E0
3.034976833E0,-1.592687988E-1,7.304809570E-2,9.838740234E0,9.840300401E0
3.044925833E0,-1.583706665E-1,7.948471069E-2,9.840835876E0,9.842431094E0
3.054874833E0,-1.586700439E-1,8.038284302E-2,9.840386810E0,9.841994217E0
3.064823833E0,-1.504371643E-1,8.158035278E-2,9.833351440E0,9.834840479E0
3.074773833E0,-1.622625732E-1,7.125183105E-2,9.841284943E0,9.842880437E0
3.084722833E0,-1.619631958E-1,7.379653931E-2,9.839937744E0,9.841547277E0
3.094671833E0,-1.564247131E-1,7.708969116E-2,9.845625916E0,9.847170212E0
3.104620833E0,-1.543290710E-1,7.229965210E-2,9.839937744E0,9.841413491E0
3.114570833E0,-1.544787598E-1,7.020401001E-2,9.840835876E0,9.842298666E0
3.124519833E0,-1.517843628E-1,7.319778442E-2,9.844578094E0,9.846020225E0
3.134468833E0,-1.532812500E-1,7.723937988E-2,9.848919067E0,9.850414603E0
3.144417833E0,-1.585203552E-1,7.903564453E-2,9.840237122E0,9.841831229E0
